Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,ess.tesla_real_pwr_ctrl.DirectReal_Timeout,sec,,>H,TRUE,855,0,
,ess.tesla_q_ctrl.DirectReactive_Timeout,sec,,>H,TRUE,867,0,
,ess.tesla_freqSupport.FreqSupport_Active,,,>H,TRUE,874,0,
,ess.tesla_freqSupport.FreqSupport_FreqLow,mHz,,>H,TRUE,875,0,
,ess.tesla_freqSupport.FreqSupport_FreqHigh,mHz,,>H,TRUE,876,0,
,ess.tesla_freqSupport.FreqSupport_FreqLowDelta,mHz,,>H,TRUE,877,0,
,ess.tesla_freqSupport.FreqSupport_FreqHighDelta,mHz,,>H,TRUE,878,0,
,ess.tesla_freqSupport.FreqSupport_HysteresisWidth,mHz,,>H,TRUE,879,0,
,ess.tesla_freqSupport.FreqSupport_PowerLowDelta,W,,>i,TRUE,880,0,
,ess.tesla_freqSupport.FreqSupport_PowerHighDelta,W,,>i,TRUE,882,0,
,ess.tesla_status.Status_FullChargeEnergy,Wh,,>i,TRUE,830,0,
,ess.tesla_status.Status_MaxChargePower,W,,>i,TRUE,836,0,
,ess.tesla_status.Status_MaxDischargePower,W,,>i,TRUE,838,0,
